id;stadt;strasse;hausnummer;kapazitaet;fussballverein_id
1;München;Werner-Heisenberg-Allee;25;75024;1
2;Sinsheim;Dietmar-Hopp-Straße;1;30150;2
3;Barcelona;Carrer d'Arístides Maillol;12;99354;3
4;Liverpool;Anfield Road;1;54074;4
